"domain","metric","healthy_meaning","watch_or_stress","benchmark_type","current_reading","assessment","source_label","source_url"
"Banking","Tier 1 capital ratio","Above the applicable national minimum; 8.5% is a Basel minimum-plus-buffer reference","Within 2 percentage points of the applicable minimum","Basel III reference; national rules prevail","12.1% at end-2025","healthy","Basel Committee and BCT","https://www.bis.org/bcbs/publ/d581.pdf"
"Banking","Liquidity coverage ratio","At least 100% with a stable funding profile","Below 120% is watch; below 100% breaches the Basel reference","Basel III minimum","252.8% at end-2025","healthy","Basel Committee and BCT","https://www.bis.org/bcbs/publ/d581.pdf"
"Banking","Loan-to-deposit ratio","Stable and funded without excessive wholesale dependence; roughly 80–100% is a monitoring range","Above 110% or a rapid fall caused by credit contraction","TunStat monitoring range; not a prudential limit","92.1% at end-2025","healthy","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Banking","Classified-loan ratio","Below 5% and falling","5–10% is watch; above 10% is stress","TunStat cross-country comparison reference; IMF defines but does not set a universal threshold","14.9% at end-2025","stress","IMF FSI Guide and BCT","https://www.elibrary.imf.org/display/book/9781484396209/ch07.xml"
"Banking","Classified-loan coverage","At least 70% and rising after collateral quality is considered","Below 60% or falling while NPLs rise","TunStat comparison reference; provisioning rules differ","51.6% at end-2025","stress","IMF FSI Guide and BCT","https://www.imf.org/en/-/media/files/data/2019/2019-fsi-guide.pdf"
"Banking","Private-enterprise classified loans","Below 10% and falling","Above 15% or rising","TunStat portfolio reference","20.8% at end-2025","stress","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Banking","Household classified loans","Below 5% and stable","Above 8% or rising rapidly","TunStat portfolio reference","7.4% at end-2025","watch","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Banking","Medium- and long-term credit growth","Positive in real terms and directed to viable productive firms","Below inflation or negative for several quarters","Directional","0.7% nominal growth in 2025","stress","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Banking","Public-sector financing share of bank assets","Transparent and declining toward below 20% without destabilizing auctions","Above 25% or rising quickly","TunStat concentration reference; no universal prudential cap","27.6% at end-2025","stress","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Fiscal cash","Revenue and grants","Meets a realistic budget without one-off amnesties or accumulating tax-refund arrears","Persistent shortfall above 5% of plan","Execution-based; no healthy absolute amount","TND 49.70bn provisional 2025 actual","context","Ministry of Finance","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Fiscal cash","Total expenditure","Within appropriation with protected maintenance and high-return capital spending","Cash rationing; arrears; or broad cuts to maintenance","Execution-quality based","TND 58.47bn provisional 2025 actual","context","Ministry of Finance","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Fiscal cash","Primary balance","At least balance over the cycle while protecting investment and vulnerable households","Deficit above 2% of GDP without a correction path","TunStat medium-term fiscal reference","About −1.5% of GDP in 2025","watch","World Bank Macro Poverty Outlook","https://documents1.worldbank.org/curated/en/099635304152611739/pdf/IDU-5b2c845c-675f-43d2-8411-9d2c38f7624b.pdf"
"Fiscal cash","Gross financing need","Fully funded at sustainable maturity and rate; lower than 15% of GDP is the operating reference","Above 20% of GDP or material auction and disbursement slippage","TunStat debt-management reference","TND 27.06bn planned for 2026","watch","2026 Finance Law and BCT","https://www.finances.gov.tn/sites/default/files/2026-01/115725.pdf"
"Fiscal cash","Domestic financing share","Diversified across banks and non-bank savings without crowding out firms","More than 70% of gross need from domestic banks","TunStat concentration reference","TND 19.06bn of TND 27.06bn plan","stress","2026 Finance Law","https://www.finances.gov.tn/sites/default/files/2026-01/115725.pdf"
"Fiscal cash","Public debt service","Below 20% of revenue with a smooth maturity profile","Above 25% of revenue or requiring arrears or monetary finance","TunStat operating reference","TND 24.44bn in 2025","stress","Ministry of Finance","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Fiscal cash","Interest expense","Below 10% of revenue and declining","Above 15% of revenue or crowding out maintenance","TunStat budget-composition reference","TND 6.46bn; about 13.0% of 2025 revenue","watch","Ministry of Finance","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Fiscal cash","Outstanding state guarantees","Complete quarterly registry with expected loss and risk fees; declining high-risk concentration","Unknown stock; repeated calls; or guarantees issued without appraisal","Disclosure and risk-management standard","Not published in a current consolidated table","gap","Ministry of Finance","https://www.finances.gov.tn/fr/dette-garantie"
"Fiscal cash","Government arrears","Zero net new arrears and normal supplier payment terms","Any sustained accumulation; more than 60 days for verified invoices","TunStat cash-management standard","Not published in a current consolidated table","gap","Ministry of Finance","https://www.finances.gov.tn/fr/telechargement"
"Fiscal cash","BCT direct-facility use","Zero in normal conditions; any temporary use fully disclosed with an exit schedule","Repeated use or financing permanent recurrent spending","Central-bank independence safeguard","TND 11bn legal authorization; actual use not published","gap","2026 Finance Law","https://www.finances.gov.tn/sites/default/files/2026-01/115725.pdf"
"Fiscal cash","Capital execution rate","At least 85% for ready priority projects without cost inflation","Below 70% or execution concentrated in December","TunStat delivery reference","2026 rate not yet published","gap","Ministry of Finance","https://www.finances.gov.tn/fr/telechargement"
"Budget composition","Wage share","Declining gradually while service quality and staffing needs are met","Above 40% of expense with weak service outcomes","Directional; no universal share","39.8% of 2025 expense","watch","Ministry of Finance","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Budget composition","Investment share","At least 15% of primary expenditure after classification audit and with maintenance funding","Below 10% or projects lack operating budgets","TunStat policy anchor","9.8% of 2025 expense","stress","Ministry of Finance and TunStat scorecard","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Budget composition","Subsidy spending","Targeted; budgeted; and declining only after compensation reaches eligible households","Generalized support rises or reform increases poverty and service exclusion","Outcome-based; no universal amount","TND 11.59bn in 2025; fuel 61.3%","stress","Ministry of Finance","https://www.finances.gov.tn/sites/default/files/2026-02/R%C3%A9sultats%20provisoires%20de%20l%27ex%C3%A9cution%20du%20Budget%20%C3%A0%20fin%20D%C3%A9cembre%202025.pdf"
"Households","Poverty at USD 8.30 per day","Continuous decline; SDG direction is to at least halve national poverty and end extreme poverty","Flat or rising for two years","UN SDG directional target; line is not Tunisia's national poverty line","16.0% in 2025 nowcast","watch","World Bank and UN SDG 1","https://sdgs.un.org/goals/goal1"
"Households","Poverty at USD 4.20 per day","Approaching zero with strong social-protection coverage","Any sustained increase","UN SDG directional target","1.3% in 2025 nowcast","watch","World Bank and UN SDG 1","https://sdgs.un.org/goals/goal1"
"Households","Real private consumption growth","Positive per capita and broad-based without widening external imbalance","Negative or debt-financed above productivity for several years","Directional","2.4% 2026 forecast","watch","World Bank Macro Poverty Outlook","https://documents1.worldbank.org/curated/en/099635304152611739/pdf/IDU-5b2c845c-675f-43d2-8411-9d2c38f7624b.pdf"
"Households","Real wage growth","Positive and aligned with productivity over the cycle","Negative for two consecutive quarters","Directional","Current economy-wide series not published","gap","INS","https://www.ins.tn/"
"Households","Household energy burden","Below 10% of expenditure for protected low-income households after reform","Above 10% for low-income households or rising after tariff changes","TunStat affordability safeguard","Not published by income decile","gap","INS and Energy Ministry","https://www.ins.tn/"
"Households","Regional food inflation","No region more than 2 percentage points above national food inflation for a sustained period","Persistent gap above 3 percentage points","TunStat equity reference","Current comparable regional series not found","gap","INS","https://www.ins.tn/"
"Electricity","Energy independence","Rising toward at least 50% with diversified imports and reliable supply","Below 40% or falling","TunStat 2030 resilience reference","34% through May 2026","stress","Energy Ministry","https://www.energiemines.gov.tn/fileadmin/docs-u1/Conjoncture_%C3%A9nerg%C3%A9tique__mai_2026.pdf"
"Electricity","Natural-gas generation share","Below 60% with firm diversified capacity","Above 80% or one fuel determines system adequacy","TunStat diversification reference","91% through May 2026","stress","Energy Ministry","https://www.energiemines.gov.tn/fileadmin/docs-u1/Conjoncture_%C3%A9nerg%C3%A9tique__mai_2026.pdf"
"Electricity","Renewable production share","At least the official TEREG target of 27% by 2028 and national 35% direction by 2030","Below the published implementation path","Official Tunisian program target","About 9% through May 2026; definitions differ","watch","World Bank TEREG appraisal","https://documents1.worldbank.org/curated/en/099031525065039924/pdf/P507304-161c6028-502c-4281-85b6-9e7f219973d9.pdf"
"Electricity","STEG cost recovery","At least the official 80% TEREG target by 2028 with explicit budget compensation for social obligations","Below 70% or deteriorating collections","Official TEREG target","60% program baseline","stress","World Bank TEREG appraisal","https://documents1.worldbank.org/curated/en/099031525065039924/pdf/P507304-161c6028-502c-4281-85b6-9e7f219973d9.pdf"
"Electricity","Operating reserve margin","At or above the system operator's approved reliability criterion at every peak","Below criterion or controlled rotation is needed","System-specific engineering standard; Tunisia must publish it","Not published","gap","STEG","https://www.steg.com.tn/"
"Electricity","SAIDI","Declining annually and within a published regulator-approved standard","Rising or large unexplained regional gaps","System-specific service standard","Not published nationally","gap","STEG","https://www.steg.com.tn/"
"Electricity","SAIFI","Declining annually and within a published regulator-approved standard","Rising or large unexplained regional gaps","System-specific service standard","Not published nationally","gap","STEG","https://www.steg.com.tn/"
"Electricity","Energy not supplied","Zero in normal operation and declining in stress periods","Any sustained increase or repeated controlled shedding","Directional reliability standard","Not published nationally","gap","STEG","https://www.steg.com.tn/"
"Electricity","Transmission and distribution losses","Below 10% and falling with an audited technical/commercial split","Above 15% or rising","TunStat utility-performance reference","Current audited baseline not found","gap","STEG","https://www.steg.com.tn/"
"Electricity","Bill collection rate","At least 98% for current bills with protected payment plans for vulnerable users","Below 95% or public-entity arrears rising","TunStat commercial-performance reference","Not published by customer class","gap","STEG","https://www.steg.com.tn/"
"Electricity","STEG receivables and cross-arrears","Fully reconciled; no net new arrears; normal payment terms","Unknown stock or rising public-sector balances","Fiscal-risk management standard","Not published in a current consolidated table","gap","STEG and Ministry of Finance","https://www.steg.com.tn/"
"Water","Dam filling rate","Above the ten-year seasonal median and sufficient for the approved allocation plan","Below seasonal drought trigger or falling faster than the plan","Seasonal; no universal fixed percentage","About 60% in June 2026","context","Agriculture Ministry reported by TAP","https://www.tap.info.tn/en/Portal-Economy/20320889-dam-filling-rate-at"
"Water","Per-capita potable-water use","Demand consistent with sustainable supply and service quality; no universal ideal","Rising during scarcity without metering or conservation","Contextual","128 litres per day project baseline","context","World Bank water project appraisal","https://documents1.worldbank.org/curated/en/099020626172042635/pdf/P511719-ba379039-6898-4c94-ae53-0a713d6fd43a.pdf"
"Water","Potable-water physical losses","At or below 15% and falling by distribution system","Above 25% or rising","World Bank-referenced utility benchmark; system conditions differ","23% project baseline","watch","World Bank water project appraisal","https://documents1.worldbank.org/curated/en/099020626172042635/pdf/P511719-ba379039-6898-4c94-ae53-0a713d6fd43a.pdf"
"Water","Public-irrigation water losses","At or below 20% and falling with verified delivery","Above 30% or rising","TunStat irrigation-efficiency reference","30% project baseline","stress","World Bank water project appraisal","https://documents1.worldbank.org/curated/en/099020626172042635/pdf/P511719-ba379039-6898-4c94-ae53-0a713d6fd43a.pdf"
"Water","Desalination share","Enough diversified firm supply to close regional deficits at affordable energy cost","Capacity added without renewable power; brine control; or network repair","Portfolio-based; no healthy share","2% of total supply project baseline","context","World Bank water project appraisal","https://documents1.worldbank.org/curated/en/099020626172042635/pdf/P511719-ba379039-6898-4c94-ae53-0a713d6fd43a.pdf"
"Water","Treated-wastewater reuse share","Rising only with verified quality and demand; official plan implies major expansion","Stagnant below plan or reuse without compliance","Official strategic direction; no single current legal target in dossier","1% of total supply project baseline","watch","World Bank water project appraisal","https://documents1.worldbank.org/curated/en/099020626172042635/pdf/P511719-ba379039-6898-4c94-ae53-0a713d6fd43a.pdf"
"Water","Groundwater balance","Abstraction no greater than sustainable recharge by basin","Over-abstraction or declining levels and salinity","Hydrological basin standard","Current consolidated national balance not found","gap","Agriculture Ministry","https://www.agriculture.tn/"
"Water","Potable-water interruption duration","Continuous service or a regulator-approved declining standard with public event logs","Repeated unplanned cuts or severe regional gaps","Service-quality standard","Not published nationally","gap","SONEDE","https://www.sonede.com.tn/"
"Water","Water-quality compliance","100% compliance with health standards and transparent incident reporting","Any persistent breach or missing surveillance","Public-health standard","Not published nationally by system","gap","SONEDE and Health Ministry","https://www.sonede.com.tn/"
"Investment","Gross fixed capital formation","Positive real growth with productive and regional diversification","Negative real growth or concentration in low-return assets","Directional","TND 26.76bn in 2025; +5.4% real","healthy","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"Investment","Investment rate","At least 20% of GDP medium term; around 25% is a convergence reference","Below 17% for several years","Growth Commission comparison and TunStat medium-term reference","15.5% of GDP in 2025","stress","World Bank country economic memorandum","https://documents1.worldbank.org/curated/en/763771468197384854/pdf/Kenya000Countr0nd0shared0prosperity.pdf"
"Investment","Realized FDI flows","At least 2% of GDP with more new projects and inland-region participation","Below 1.5% of GDP or mainly reinvested in a narrow sector","TunStat development reference","TND 3.51bn in 2025; 1.6% of GDP WB estimate","watch","FIPA and World Bank","https://www.tap.info.tn/en/Portal-Top-News-EN/19985964-tunisia-over-tnd"
"Investment","Declared investment","Rising only if verified conversion and operating jobs also rise","Announcements rise while conversion falls","Outcome-based; no healthy absolute amount","TND 8.36bn in 2025","context","TIA","https://tia.gov.tn/en/news-details/tunisie-croissance-de-393-des-investissements-declares-en-2025"
"Investment","FDI jobs created","Jobs verified on payroll after operation with retention and wage reporting","Only announced jobs or high early attrition","Outcome-based","14,085 reported jobs outside energy in 2025","context","FIPA reported by TAP","https://www.tap.info.tn/en/Portal-Top-News-EN/19985964-tunisia-over-tnd"
"Investment","Declared-to-operational conversion","Published by cohort and improving annually; at least 60% within the sector-appropriate delivery window","Below 40% or not published","TunStat delivery reference","Not published","gap","TIA FIPA and APII","https://tia.gov.tn/"
"Investment","Priority-project execution","At least 85% financial execution with physical milestones and controlled cost variation","Below 70% or payment outruns physical progress","TunStat delivery reference","Not published comparably","gap","Economy and Planning Ministry","https://www.mdici.gov.tn/"
"Productive sectors","Merchandise exports","Positive real growth faster than imports over the cycle","Below import growth for several quarters","Directional","TND 34.65bn in H1 2026; +9% nominal","watch","INS","https://www.ins.tn/publication/commerce-exterieur-aux-prix-courants-juin-2026"
"Productive sectors","Tourism receipts","Positive real growth with higher spend per night and diversified markets","Nominal growth below inflation or concentration rises","Directional","TND 3.35bn in H1 2026; about +4.4%","watch","BCT indicators reported by TAP","https://www.tap.info.tn/en/Portal-Headlines/20383154-tourism-revenues"
"Productive sectors","Industrial production","Positive broad-based year-on-year growth above 3%","Contraction for three consecutive months","TunStat high-frequency reference","May 2026 value not retrieved from reviewed release page","gap","INS","https://www.ins.tn/node/493"
"Productive sectors","Phosphate production","Actual monthly output meets a safe and environmentally compliant operating plan","Targets published without actual production or logistics data","Plan-based","5.3 million tonne 2026 target; actual monthly series not consistent","gap","CPG reported by TAP","https://www.tap.info.tn/fr/Portail-%C3%A0-la-Une-FR-top/19834366-boost%C3%A9es-par-des"
"Productive sectors","Export orders","Positive real growth and a stable backlog","Contraction for three months","Directional leading indicator","Not published","gap","INS and CEPEX","https://www.cepex.nat.tn/"
"Productive sectors","Tourism arrivals and nights","Arrivals; nights; occupancy; and receipts grow together without service degradation","Receipts depend on price inflation while nights fall","Directional","Current national physical series not found at same freshness","gap","ONTT","https://www.ontt.tn/"
"Productive sectors","Agricultural water productivity","Rising value added per cubic metre with aquifer and soil protection","More water use without higher value or resilience","Directional","Not published nationally","gap","Agriculture Ministry","https://www.agriculture.tn/"
"Labor","Labor force","Participation rises without an increase in discouraged workers","Labor force shrinks while working-age population grows","Directional","4.268 million in Q1 2026","watch","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Employment","Grows faster than the working-age population with formal and productive jobs","Employment contracts for two quarters","Directional","3.626 million; +16,500 quarter on quarter","healthy","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Unemployment","Below 10% and falling with no participation collapse","Above 15% or rising","TunStat medium-term policy reference; no universal ILO healthy rate","15.0% in Q1 2026","stress","INS and ILO indicator framework","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Youth unemployment","Below 20% and converging toward the adult rate","Above 30% or rising","TunStat medium-term policy reference","37.5% in Q1 2026","stress","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Graduate unemployment","Below 15% with a shrinking gender gap","Above 20% or rising","TunStat medium-term policy reference","24.2% in Q1 2026","stress","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Female graduate unemployment","Below 15% and within 3 percentage points of male graduates","Gap above 10 percentage points","TunStat equality reference","32.0% versus 14.2% for men","stress","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Labor-force participation","At least 55% and rising; gains should include women","Below 50% or falling","TunStat medium-term participation reference","45.9% in Q1 2026","stress","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Urban-rural unemployment gap","Within 2 percentage points and falling","Gap above 4 percentage points","TunStat regional-equity reference","14.4% urban versus 16.5% rural","watch","INS","https://www.ins.tn/publication/indicateurs-de-lemploi-et-du-chomage-premier-trimestre-2026"
"Labor","Informal employment","Below 30% and falling with social-protection coverage rising","Above 50% or rising","TunStat decent-work reference; ILO stresses multi-indicator assessment","Current measure not found","gap","ILO and INS","https://www.ilo.org/resource/key-indicators-labour-market-kilm-seventh-edition"
"Labor","Underemployment","Below 5% and falling","Above 10% or rising","TunStat labor-utilization reference","Not published","gap","INS","https://www.ins.tn/"
"Labor","Long-term unemployment","Below 25% of unemployed people and falling","Above 40% or rising","TunStat structural-employment reference","Not published","gap","INS","https://www.ins.tn/"
"Labor","Real median earnings","Positive growth with a narrowing gender and regional gap","Negative for two years","Directional","Not published","gap","INS","https://www.ins.tn/"
"SOEs","Bank credit to public enterprises","Declining relative to bank assets and tied to audited restructuring or viable investment","Grows faster than private productive credit","Directional concentration reference","TND 16.60bn; +14.7% in 2025","stress","BCT Annual Report 2025","https://www.bct.gov.tn/bct/siteprod/documents/RA_2025_fr.pdf"
"SOEs","Consolidated SOE debt","Complete audited stock that is stable or declining relative to GDP","Unknown stock or debt grows without service improvement","Disclosure and sustainability standard","Not published currently","gap","Ministry of Finance","https://www.finances.gov.tn/fr/document/le-rapport-sur-les-entreprises-publiques-ar"
"SOEs","Outstanding guaranteed SOE debt","Complete registry with expected loss; no high-risk concentration","Unknown stock or repeated guarantee calls","Fiscal-risk standard","Not published currently","gap","Ministry of Finance","https://www.finances.gov.tn/fr/dette-garantie"
"SOEs","Budget transfers by entity","Explicit; budgeted; and linked to a public-service obligation or restructuring milestone","Unbudgeted transfers or repeated emergency support","Governance standard","Current consolidated entity table not found","gap","Ministry of Finance","https://www.finances.gov.tn/"
"SOEs","SOE-government cross-arrears","Zero net new arrears and fully reconciled quarterly","Unknown or rising balances","Cash-management standard","Not published currently","gap","Ministry of Finance","https://www.finances.gov.tn/"
"SOEs","SOE bank exposure by entity","Published concentration ranges and declining high-risk exposure","Unknown concentration or rapid growth","Financial-stability disclosure standard","Not published currently","gap","BCT","https://www.bct.gov.tn/"
"SOEs","Supplier payment delay","Below 30 days for accepted invoices","Above 60 days","TunStat commercial standard","Not published","gap","SOEs and Ministry of Finance","https://www.finances.gov.tn/"
"SOEs","Audited accounts filed on time","100% within the statutory deadline or a named public exception","Below 90% or no portfolio rate","Legal and governance standard","Portfolio compliance rate not published","gap","Ministry of Finance","https://www.finances.gov.tn/fr/document/le-rapport-sur-les-entreprises-publiques-ar"
